date,home_team,away_team,home_score,away_score,tournament,country
2022-03-29,Bangladesh,Mongolia,0,0,Friendly,Bangladesh
2022-03-29,Belgium,Burkina Faso,3,0,Friendly,Belgium
2022-03-29,Bosnia and Herzegovina,Luxembourg,1,0,Friendly,Bosnia and Herzegovina
2022-03-29,Congo,Sierra Leone,1,2,Friendly,Turkey
2022-03-29,Croatia,Bulgaria,2,1,Friendly,Qatar
2022-03-29,Denmark,Serbia,3,0,Friendly,Denmark
2022-03-29,England,Ivory Coast,3,0,Friendly,England
2022-03-29,Faroe Islands,Liechtenstein,1,0,Friendly,Spain
2022-03-29,Finland,Slovakia,0,2,Friendly,Spain
2022-03-29,France,South Africa,5,0,Friendly,Algeria
2022-03-29,Israel,Romania,2,2,Friendly,Israel
2022-03-29,Liberia,Burundi,1,2,Friendly,Turkey
2022-03-29,Malta,Kuwait,2,0,Friendly,Malta
2022-03-29,Mauritania,Libya,2,0,Friendly,Mauritania
2022-03-29,Netherlands,Germany,1,1,Friendly,Netherlands
2022-03-29,Northern Ireland,Hungary,0,1,Friendly,Northern Ireland
2022-03-29,Norway,Armenia,9,0,Friendly,Norway
2022-03-29,Qatar,Slovenia,0,0,Friendly,Qatar
2022-03-29,Republic of Ireland,Lithuania,1,0,Friendly,Republic of Ireland
2022-03-29,Singapore,Philippines,2,0,Friendly,Singapore
2022-03-29,Spain,Iceland,5,0,Friendly,Spain
2022-03-29,Switzerland,Kosovo,1,1,Friendly,Switzerland
2022-03-29,Tanzania,Sudan,1,1,Friendly,Tanzania
2022-03-29,Togo,Benin,1,1,Friendly,Turkey
2022-03-29,Trinidad and Tobago,Guyana,1,1,Friendly,Trinidad and Tobago
2022-03-29,Turkey,Italy,2,3,Friendly,Turkey
2022-03-29,Wales,Czech Republic,1,1,Friendly,Wales
2022-03-29,Cyprus,Estonia,2,0,UEFA Nations League,Cyprus
2022-03-29,Kazakhstan,Moldova,0,1,UEFA Nations League,Kazakhstan
2022-04-24,El Salvador,Guatemala,0,4,Friendly,United States
2022-04-27,Mexico,Guatemala,0,0,Friendly,United States
2022-05-12,Bahamas,Turks and Caicos Islands,4,2,Friendly,Bahamas
2022-05-12,Dominica,Saint Vincent and the Grenadines,2,1,Friendly,Dominica
2022-05-14,Bahamas,Turks and Caicos Islands,1,2,Friendly,Bahamas
2022-05-15,Dominica,Saint Vincent and the Grenadines,3,1,Friendly,Dominica
2022-05-24,Mozambique,Eswatini,0,1,Friendly,Mozambique
2022-05-24,Thailand,Bahrain,3,1,Friendly,Thailand
2022-05-27,Bahrain,Myanmar,2,0,Friendly,Thailand
2022-05-27,Malaysia,Brunei,4,0,Friendly,Malaysia
2022-05-27,Thailand,Turkmenistan,1,0,Friendly,Thailand
2022-05-28,Ethiopia,Lesotho,1,1,Friendly,Ethiopia
2022-05-28,India,Jordan,0,2,Friendly,Qatar
2022-05-28,Mexico,Nigeria,2,1,Friendly,United States
2022-05-29,United Arab Emirates,Gambia,1,1,Friendly,United Arab Emirates
2022-05-30,Ethiopia,Lesotho,1,1,Friendly,Ethiopia
2022-05-30,Trinidad and Tobago,Saint Lucia,1,0,Friendly,Trinidad and Tobago
2022-05-31,Thailand,Bahrain,1,2,Friendly,Thailand
2022-06-01,Poland,Wales,2,1,UEFA Nations League,Poland
2022-06-01,Australia,Jordan,2,1,Friendly,Qatar
2022-06-01,Indonesia,Bangladesh,0,0,Friendly,Indonesia
2022-06-01,Malta,Venezuela,0,1,Friendly,Malta
2022-06-01,Kuwait,Singapore,2,0,Friendly,United Arab Emirates
2022-06-01,Malaysia,Hong Kong,2,0,Friendly,Malaysia
2022-06-01,Syria,Tajikistan,1,0,Friendly,United Arab Emirates
2022-06-01,United States,Morocco,3,0,Friendly,United States
2022-06-01,Vietnam,Afghanistan,2,0,Friendly,Vietnam
2022-06-02,Czech Republic,Switzerland,2,1,UEFA Nations League,Czech Republic
2022-06-02,Spain,Portugal,1,1,UEFA Nations League,Spain
2022-06-02,Israel,Iceland,2,2,UEFA Nations League,Israel
2022-06-02,Serbia,Norway,0,1,UEFA Nations League,Serbia
2022-06-02,Slovenia,Sweden,0,2,UEFA Nations League,Slovenia
2022-06-02,Northern Ireland,Greece,0,1,UEFA Nations League,Northern Ireland
2022-06-02,Cyprus,Kosovo,0,2,UEFA Nations League,Cyprus
2022-06-02,Georgia,Gibraltar,4,0,UEFA Nations League,Georgia
2022-06-02,Bulgaria,North Macedonia,1,1,UEFA Nations League,Bulgaria
2022-06-02,Estonia,San Marino,2,0,UEFA Nations League,Estonia
2022-06-02,Cambodia,Timor-Leste,2,1,Friendly,Cambodia
2022-06-02,Ecuador,Nigeria,1,0,Friendly,United States
2022-06-02,Japan,Paraguay,4,1,Friendly,Japan
2022-06-02,South Korea,Brazil,1,5,Friendly,South Korea
2022-06-02,Mexico,Uruguay,0,3,Friendly,United States
2022-06-03,Croatia,Austria,0,3,UEFA Nations League,Croatia
2022-06-03,France,Denmark,1,2,UEFA Nations League,France
2022-06-03,Belgium,Netherlands,1,4,UEFA Nations League,Belgium
2022-06-03,Kazakhstan,Azerbaijan,2,0,UEFA Nations League,Kazakhstan
2022-06-03,Belarus,Slovakia,0,1,UEFA Nations League,Serbia
2022-06-03,Liechtenstein,Moldova,0,2,UEFA Nations League,Liechtenstein
2022-06-03,Latvia,Andorra,3,0,UEFA Nations League,Latvia
2022-06-03,Nepal,Oman,0,2,Friendly,Qatar
2022-06-04,Hungary,England,1,0,UEFA Nations League,Hungary
2022-06-04,Italy,Germany,1,1,UEFA Nations League,Italy
2022-06-04,Armenia,Republic of Ireland,1,0,UEFA Nations League,Armenia
2022-06-04,Finland,Bosnia and Herzegovina,1,1,UEFA Nations League,Finland
2022-06-04,Montenegro,Romania,2,0,UEFA Nations League,Montenegro
2022-06-04,Lithuania,Luxembourg,0,2,UEFA Nations League,Lithuania
2022-06-04,Turkey,Faroe Islands,4,0,UEFA Nations League,Turkey
2022-06-05,Portugal,Switzerland,4,0,UEFA Nations League,Portugal
2022-06-05,Czech Republic,Spain,2,2,UEFA Nations League,Czech Republic
2022-06-05,Serbia,Slovenia,4,1,UEFA Nations League,Serbia
2022-06-05,Sweden,Norway,1,2,UEFA Nations League,Sweden
2022-06-05,Cyprus,Northern Ireland,0,0,UEFA Nations League,Cyprus
2022-06-05,Kosovo,Greece,0,1,UEFA Nations League,Kosovo
2022-06-05,Gibraltar,North Macedonia,0,2,UEFA Nations League,Gibraltar
2022-06-05,Bulgaria,Georgia,2,5,UEFA Nations League,Bulgaria
2022-06-05,San Marino,Malta,0,2,UEFA Nations League,San Marino
2022-06-05,Argentina,Estonia,5,0,Friendly,Spain
2022-06-05,Mexico,Ecuador,0,0,Friendly,United States
2022-06-05,Peru,New Zealand,1,0,Friendly,Spain
2022-06-05,Saudi Arabia,Colombia,0,1,Friendly,Spain
2022-06-05,United States,Uruguay,0,0,Friendly,United States
2022-06-06,Austria,Denmark,1,2,UEFA Nations League,Austria
