date,home,visitor,hgoal,vgoal,FT,Season,result
2020-06-22,CD Leganes,Granada CF,0,0,0-0,2019,D
2020-06-23,Levante UD,Atletico Madrid,0,1,0-1,2019,A
2020-06-23,Real Valladolid,Getafe CF,1,1,1-1,2019,D
2020-06-23,FC Barcelona,Athletic Bilbao,1,0,1-0,2019,H
2020-06-24,CD Alaves,CA Osasuna,0,1,0-1,2019,A
2020-06-24,Real Sociedad,Celta Vigo,0,1,0-1,2019,A
2020-06-24,Real Madrid,RCD Mallorca,2,0,2-0,2019,H
2020-06-25,SD Eibar,Valencia CF,1,0,1-0,2019,H
2020-06-25,Real Betis,Espanyol Barcelona,1,0,1-0,2019,H
2020-06-26,Sevilla FC,Real Valladolid,1,1,1-1,2019,D
2020-06-27,Athletic Bilbao,RCD Mallorca,3,1,3-1,2019,H
2020-06-27,Celta Vigo,FC Barcelona,2,2,2-2,2019,D
2020-06-27,CA Osasuna,CD Leganes,2,1,2-1,2019,H
2020-06-27,Atletico Madrid,CD Alaves,2,1,2-1,2019,H
2020-06-28,Levante UD,Real Betis,4,2,4-2,2019,H
2020-06-28,Villarreal CF,Valencia CF,2,0,2-0,2019,H
2020-06-28,Granada CF,SD Eibar,1,2,1-2,2019,A
2020-06-28,Espanyol Barcelona,Real Madrid,0,1,0-1,2019,A
2020-06-29,Getafe CF,Real Sociedad,2,1,2-1,2019,H
2020-06-30,RCD Mallorca,Celta Vigo,5,1,5-1,2019,H
2020-06-30,CD Leganes,Sevilla FC,0,3,0-3,2019,A
2020-06-30,FC Barcelona,Atletico Madrid,2,2,2-2,2019,D
2020-07-01,CD Alaves,Granada CF,0,2,0-2,2019,A
2020-07-01,Valencia CF,Athletic Bilbao,0,2,0-2,2019,A
2020-07-01,Real Betis,Villarreal CF,0,2,0-2,2019,A
2020-07-01,Real Valladolid,Levante UD,0,0,0-0,2019,D
2020-07-02,SD Eibar,CA Osasuna,0,2,0-2,2019,A
2020-07-02,Real Sociedad,Espanyol Barcelona,2,1,2-1,2019,H
2020-07-02,Real Madrid,Getafe CF,1,0,1-0,2019,H
2020-07-03,Atletico Madrid,RCD Mallorca,3,0,3-0,2019,H
2020-07-04,Celta Vigo,Real Betis,1,1,1-1,2019,D
2020-07-04,Real Valladolid,CD Alaves,1,0,1-0,2019,H
2020-07-04,Granada CF,Valencia CF,2,2,2-2,2019,D
2020-07-05,Athletic Bilbao,Real Madrid,0,1,0-1,2019,A
2020-07-05,Espanyol Barcelona,CD Leganes,0,1,0-1,2019,A
2020-07-05,CA Osasuna,Getafe CF,0,0,0-0,2019,D
2020-07-05,Villarreal CF,FC Barcelona,1,4,1-4,2019,A
2020-07-06,Levante UD,Real Sociedad,1,1,1-1,2019,D
2020-07-06,Sevilla FC,SD Eibar,1,0,1-0,2019,H
2020-07-07,Valencia CF,Real Valladolid,2,1,2-1,2019,H
2020-07-07,Celta Vigo,Atletico Madrid,1,1,1-1,2019,D
2020-07-08,Real Betis,CA Osasuna,3,0,3-0,2019,H
2020-07-08,Getafe CF,Villarreal CF,1,3,1-3,2019,A
2020-07-08,FC Barcelona,Espanyol Barcelona,1,0,1-0,2019,H
2020-07-09,SD Eibar,CD Leganes,0,0,0-0,2019,D
2020-07-09,RCD Mallorca,Levante UD,2,0,2-0,2019,H
2020-07-09,Athletic Bilbao,Sevilla FC,1,2,1-2,2019,A
2020-07-10,Real Sociedad,Granada CF,2,3,2-3,2019,A
2020-07-10,Real Madrid,CD Alaves,2,0,2-0,2019,H
2020-07-11,CA Osasuna,Celta Vigo,2,1,2-1,2019,H
2020-07-11,Real Valladolid,FC Barcelona,0,1,0-1,2019,A
2020-07-11,Atletico Madrid,Real Betis,1,0,1-0,2019,H
2020-07-12,Espanyol Barcelona,SD Eibar,0,2,0-2,2019,A
2020-07-12,Levante UD,Athletic Bilbao,1,2,1-2,2019,A
2020-07-12,CD Leganes,Valencia CF,1,0,1-0,2019,H
2020-07-12,Sevilla FC,RCD Mallorca,2,0,2-0,2019,H
2020-07-13,CD Alaves,Getafe CF,0,0,0-0,2019,D
2020-07-13,Villarreal CF,Real Sociedad,1,2,1-2,2019,A
2020-07-13,Granada CF,Real Madrid,1,2,1-2,2019,A
2020-07-16,SD Eibar,Real Valladolid,3,1,3-1,2019,H
2020-07-16,Athletic Bilbao,CD Leganes,0,2,0-2,2019,A
2020-07-16,FC Barcelona,CA Osasuna,1,2,1-2,2019,A
2020-07-16,Real Betis,CD Alaves,1,2,1-2,2019,A
2020-07-16,Celta Vigo,Levante UD,2,3,2-3,2019,A
2020-07-16,Getafe CF,Atletico Madrid,0,2,0-2,2019,A
2020-07-16,RCD Mallorca,Granada CF,1,2,1-2,2019,A
2020-07-16,Real Madrid,Villarreal CF,2,1,2-1,2019,H
2020-07-16,Real Sociedad,Sevilla FC,0,0,0-0,2019,D
2020-07-16,Valencia CF,Espanyol Barcelona,1,0,1-0,2019,H
2020-07-19,CD Alaves,FC Barcelona,0,5,0-5,2019,A
2020-07-19,Real Valladolid,Real Betis,2,0,2-0,2019,H
2020-07-19,Villarreal CF,SD Eibar,4,0,4-0,2019,H
2020-07-19,Atletico Madrid,Real Sociedad,1,1,1-1,2019,D
2020-07-19,Espanyol Barcelona,Celta Vigo,0,0,0-0,2019,D
2020-07-19,Granada CF,Athletic Bilbao,4,0,4-0,2019,H
2020-07-19,CD Leganes,Real Madrid,2,2,2-2,2019,D
2020-07-19,Levante UD,Getafe CF,1,0,1-0,2019,H
2020-07-19,CA Osasuna,RCD Mallorca,2,2,2-2,2019,D
2020-07-19,Sevilla FC,Valencia CF,1,0,1-0,2019,H
2020-09-12,SD Eibar,Celta Vigo,0,0,0-0,2020,D
2020-09-12,Granada CF,Athletic Bilbao,2,0,2-0,2020,H
2020-09-12,Cadiz CF,CA Osasuna,0,2,0-2,2020,A
2020-09-13,CD Alaves,Real Betis,0,1,0-1,2020,A
2020-09-13,Real Valladolid,Real Sociedad,1,1,1-1,2020,D
2020-09-13,Villarreal CF,SD Huesca,1,1,1-1,2020,D
2020-09-13,Valencia CF,Levante UD,4,2,4-2,2020,H
2020-09-19,Villarreal CF,SD Eibar,2,1,2-1,2020,H
2020-09-19,Getafe CF,CA Osasuna,1,0,1-0,2020,H
2020-09-19,Celta Vigo,Valencia CF,2,1,2-1,2020,H
2020-09-20,SD Huesca,Cadiz CF,0,2,0-2,2020,A
2020-09-20,Real Betis,Real Valladolid,2,0,2-0,2020,H
2020-09-20,Granada CF,CD Alaves,2,1,2-1,2020,H
2020-09-20,Real Sociedad,Real Madrid,0,0,0-0,2020,D
2020-09-26,CD Alaves,Getafe CF,0,0,0-0,2020,D
2020-09-26,Valencia CF,SD Huesca,1,1,1-1,2020,D
2020-09-26,Elche CF,Real Sociedad,0,3,0-3,2020,A
2020-09-26,Real Betis,Real Madrid,2,3,2-3,2020,A
2020-09-27,CA Osasuna,Levante UD,1,3,1-3,2020,A
2020-09-27,SD Eibar,Athletic Bilbao,1,2,1-2,2020,A
2020-09-27,Atletico Madrid,Granada CF,6,1,6-1,2020,H
2020-09-27,Cadiz CF,Sevilla FC,1,3,1-3,2020,A
2020-09-27,Real Valladolid,Celta Vigo,1,1,1-1,2020,D
2020-09-27,FC Barcelona,Villarreal CF,4,0,4-0,2020,H
2020-09-29,Real Sociedad,Valencia CF,0,1,0-1,2020,A
2020-09-29,Getafe CF,Real Betis,3,0,3-0,2020,H
2020-09-30,SD Huesca,Atletico Madrid,0,0,0-0,2020,D
2020-09-30,Villarreal CF,CD Alaves,3,1,3-1,2020,H
2020-09-30,SD Eibar,Elche CF,0,1,0-1,2020,A
2020-09-30,Real Madrid,Real Valladolid,1,0,1-0,2020,H
2020-10-01,Athletic Bilbao,Cadiz CF,0,1,0-1,2020,A
2020-10-01,Sevilla FC,Levante UD,1,0,1-0,2020,H
2020-10-01,Celta Vigo,FC Barcelona,0,3,0-3,2020,A
2020-10-03,Real Valladolid,SD Eibar,1,2,1-2,2020,A
2020-10-03,Atletico Madrid,Villarreal CF,0,0,0-0,2020,D
2020-10-03,Elche CF,SD Huesca,0,0,0-0,2020,D
2020-10-03,Real Sociedad,Getafe CF,3,0,3-0,2020,H
2020-10-03,Valencia CF,Real Betis,0,2,0-2,2020,A
2020-10-04,CA Osasuna,Celta Vigo,2,0,2-0,2020,H
2020-10-04,CD Alaves,Athletic Bilbao,1,0,1-0,2020,H
2020-10-04,Levante UD,Real Madrid,0,2,0-2,2020,A
2020-10-04,Cadiz CF,Granada CF,1,1,1-1,2020,D
2020-10-04,FC Barcelona,Sevilla FC,1,1,1-1,2020,D
2020-10-17,Granada CF,Sevilla FC,1,0,1-0,2020,H
2020-10-17,Celta Vigo,Atletico Madrid,0,2,0-2,2020,A
2020-10-17,Real Madrid,Cadiz CF,0,1,0-1,2020,A
2020-10-17,Getafe CF,FC Barcelona,1,0,1-0,2020,H
2020-10-18,SD Eibar,CA Osasuna,0,0,0-0,2020,D
2020-10-18,Athletic Bilbao,Levante UD,2,0,2-0,2020,H
2020-10-18,Villarreal CF,Valencia CF,2,1,2-1,2020,H
2020-10-18,CD Alaves,Elche CF,0,2,0-2,2020,A
2020-10-18,SD Huesca,Real Valladolid,2,2,2-2,2020,D
2020-10-18,Real Betis,Real Sociedad,0,3,0-3,2020,A
2020-10-23,Elche CF,Valencia CF,2,1,2-1,2020,H
2020-10-24,FC Barcelona,Real Madrid,1,3,1-3,2020,A
2020-10-24,CA Osasuna,Athletic Bilbao,1,0,1-0,2020,H
2020-10-24,Sevilla FC,SD Eibar,0,1,0-1,2020,A
2020-10-24,Atletico Madrid,Real Betis,2,0,2-0,2020,H
2020-10-25,Real Valladolid,CD Alaves,0,2,0-2,2020,A
2020-10-25,Cadiz CF,Villarreal CF,0,0,0-0,2020,D
2020-10-25,Getafe CF,Granada CF,0,1,0-1,2020,A
2020-10-25,Real Sociedad,SD Huesca,4,1,4-1,2020,H
2020-10-26,Levante UD,Celta Vigo,1,1,1-1,2020,D
2020-10-30,SD Eibar,Cadiz CF,0,2,0-2,2020,A
2020-10-31,Real Madrid,SD Huesca,4,1,4-1,2020,H
2020-10-31,Athletic Bilbao,Sevilla FC,2,1,2-1,2020,H
2020-10-31,CA Osasuna,Atletico Madrid,1,3,1-3,2020,A
2020-10-31,CD Alaves,FC Barcelona,1,1,1-1,2020,D
2020-11-01,Real Betis,Elche CF,3,1,3-1,2020,H
2020-11-01,Celta Vigo,Real Sociedad,1,4,1-4,2020,A
2020-11-01,Granada CF,Levante UD,1,1,1-1,2020,D
2020-11-01,Valencia CF,Getafe CF,2,2,2-2,2020,D
2020-11-02,Villarreal CF,Real Valladolid,2,0,2-0,2020,H
2020-11-06,Elche CF,Celta Vigo,1,1,1-1,2020,D
2020-11-07,SD Huesca,SD Eibar,1,1,1-1,2020,D
2020-11-07,FC Barcelona,Real Betis,5,2,5-2,2020,H
2020-11-07,Sevilla FC,CA Osasuna,1,0,1-0,2020,H
2020-11-07,Atletico Madrid,Cadiz CF,4,0,4-0,2020,H
2020-11-08,Getafe CF,Villarreal CF,1,3,1-3,2020,A
2020-11-08,Real Sociedad,Granada CF,2,0,2-0,2020,H
2020-11-08,Levante UD,CD Alaves,1,1,1-1,2020,D
2020-11-08,Real Valladolid,Athletic Bilbao,2,1,2-1,2020,H
2020-11-08,Valencia CF,Real Madrid,4,1,4-1,2020,H
2020-11-20,CA Osasuna,SD Huesca,1,1,1-1,2020,D
2020-11-21,Levante UD,Elche CF,1,1,1-1,2020,D
2020-11-21,Villarreal CF,Real Madrid,1,1,1-1,2020,D
2020-11-21,Sevilla FC,Celta Vigo,4,2,4-2,2020,H
2020-11-21,Atletico Madrid,FC Barcelona,1,0,1-0,2020,H
2020-11-22,SD Eibar,Getafe CF,0,0,0-0,2020,D
2020-11-22,Cadiz CF,Real Sociedad,0,1,0-1,2020,A
2020-11-22,Granada CF,Real Valladolid,1,3,1-3,2020,A
2020-11-22,CD Alaves,Valencia CF,2,2,2-2,2020,D
2020-11-23,Athletic Bilbao,Real Betis,4,0,4-0,2020,H
2020-11-27,Real Valladolid,Levante UD,1,1,1-1,2020,D
2020-11-28,Elche CF,Cadiz CF,1,1,1-1,2020,D
2020-11-28,Valencia CF,Atletico Madrid,0,1,0-1,2020,A
2020-11-28,SD Huesca,Sevilla FC,0,1,0-1,2020,A
2020-11-28,Real Madrid,CD Alaves,1,2,1-2,2020,A
2020-11-29,FC Barcelona,CA Osasuna,4,0,4-0,2020,H
2020-11-29,Getafe CF,Athletic Bilbao,1,1,1-1,2020,D
2020-11-29,Celta Vigo,Granada CF,3,1,3-1,2020,H
2020-11-29,Real Sociedad,Villarreal CF,1,1,1-1,2020,D
2020-11-30,Real Betis,SD Eibar,0,2,0-2,2020,A
2020-12-04,Athletic Bilbao,Celta Vigo,0,2,0-2,2020,A
2020-12-05,Levante UD,Getafe CF,3,0,3-0,2020,H
2020-12-05,Sevilla FC,Real Madrid,0,1,0-1,2020,A
2020-12-05,Atletico Madrid,Real Valladolid,2,0,2-0,2020,H
2020-12-05,Cadiz CF,FC Barcelona,2,1,2-1,2020,H
2020-12-06,Granada CF,SD Huesca,3,3,3-3,2020,D
2020-12-06,CA Osasuna,Real Betis,0,2,0-2,2020,A
2020-12-06,Villarreal CF,Elche CF,0,0,0-0,2020,D
2020-12-06,CD Alaves,Real Sociedad,0,0,0-0,2020,D
2020-12-07,SD Eibar,Valencia CF,0,0,0-0,2020,D
2020-12-11,Real Valladolid,CA Osasuna,3,2,3-2,2020,H
2020-12-12,Valencia CF,Athletic Bilbao,2,2,2-2,2020,D
2020-12-12,Getafe CF,Sevilla FC,0,1,0-1,2020,A
2020-12-12,SD Huesca,CD Alaves,1,0,1-0,2020,H
2020-12-12,Real Madrid,Atletico Madrid,2,0,2-0,2020,H
2020-12-13,Real Sociedad,SD Eibar,1,1,1-1,2020,D
2020-12-13,Real Betis,Villarreal CF,1,1,1-1,2020,D
2020-12-13,Elche CF,Granada CF,0,1,0-1,2020,A
2020-12-13,FC Barcelona,Levante UD,1,0,1-0,2020,H
2020-12-14,Celta Vigo,Cadiz CF,4,0,4-0,2020,H
2020-12-15,Real Madrid,Athletic Bilbao,3,1,3-1,2020,H
2020-12-16,FC Barcelona,Real Sociedad,2,1,2-1,2020,H
2020-12-18,Athletic Bilbao,SD Huesca,2,0,2-0,2020,H
2020-12-19,Atletico Madrid,Elche CF,3,1,3-1,2020,H
2020-12-19,FC Barcelona,Valencia CF,2,2,2-2,2020,D
2020-12-19,Levante UD,Real Sociedad,2,1,2-1,2020,H
2020-12-19,CA Osasuna,Villarreal CF,1,3,1-3,2020,A
2020-12-19,Sevilla FC,Real Valladolid,1,1,1-1,2020,D
2020-12-20,Celta Vigo,CD Alaves,2,0,2-0,2020,H
2020-12-20,Granada CF,Real Betis,2,0,2-0,2020,H
2020-12-20,Cadiz CF,Getafe CF,0,2,0-2,2020,A
2020-12-20,SD Eibar,Real Madrid,1,3,1-3,2020,A
2020-12-22,Elche CF,CA Osasuna,2,2,2-2,2020,D
2020-12-22,Valencia CF,Sevilla FC,0,1,0-1,2020,A
2020-12-22,SD Huesca,Levante UD,1,1,1-1,2020,D
2020-12-22,Real Sociedad,Atletico Madrid,0,2,0-2,2020,A
2020-12-22,Real Valladolid,FC Barcelona,0,3,0-3,2020,A
2020-12-22,Villarreal CF,Athletic Bilbao,1,1,1-1,2020,D
2020-12-23,Getafe CF,Celta Vigo,1,1,1-1,2020,D
2020-12-23,Real Madrid,Granada CF,2,0,2-0,2020,H
2020-12-23,CD Alaves,SD Eibar,2,1,2-1,2020,H
2020-12-23,Real Betis,Cadiz CF,1,0,1-0,2020,H
2020-12-29,Sevilla FC,Villarreal CF,2,0,2-0,2020,H
2020-12-29,FC Barcelona,SD Eibar,1,1,1-1,2020,D
2020-12-29,Cadiz CF,Real Valladolid,0,0,0-0,2020,D
2020-12-29,Levante UD,Real Betis,4,3,4-3,2020,H
2020-12-30,Granada CF,Valencia CF,2,1,2-1,2020,H
2020-12-30,Atletico Madrid,Getafe CF,1,0,1-0,2020,H
2020-12-30,Celta Vigo,SD Huesca,2,1,2-1,2020,H
2020-12-30,Elche CF,Real Madrid,1,1,1-1,2020,D
2020-12-31,Athletic Bilbao,Real Sociedad,0,1,0-1,2020,A
2020-12-31,CA Osasuna,CD Alaves,1,1,1-1,2020,D
2021-01-02,Villarreal CF,Levante UD,2,1,2-1,2020,H
2021-01-02,Real Betis,Sevilla FC,1,1,1-1,2020,D
2021-01-02,Getafe CF,Real Valladolid,0,1,0-1,2020,A
2021-01-02,Real Madrid,Celta Vigo,2,0,2-0,2020,H
2021-01-03,Athletic Bilbao,Elche CF,1,0,1-0,2020,H
2021-01-03,CD Alaves,Atletico Madrid,1,2,1-2,2020,A
2021-01-03,SD Eibar,Granada CF,2,0,2-0,2020,H
2021-01-03,Real Sociedad,CA Osasuna,1,1,1-1,2020,D
2021-01-03,SD Huesca,FC Barcelona,0,1,0-1,2020,A
2021-01-04,Valencia CF,Cadiz CF,1,1,1-1,2020,D
2021-01-06,Athletic Bilbao,FC Barcelona,2,3,2-3,2020,A
2021-01-08,Celta Vigo,Villarreal CF,0,4,0-4,2020,A
2021-01-09,Sevilla FC,Real Sociedad,3,2,3-2,2020,H
2021-01-09,Granada CF,FC Barcelona,0,4,0-4,2020,A
2021-01-09,CA Osasuna,Real Madrid,0,0,0-0,2020,D
2021-01-10,Levante UD,SD Eibar,2,1,2-1,2020,H
2021-01-10,Cadiz CF,CD Alaves,3,1,3-1,2020,H
2021-01-10,Real Valladolid,Valencia CF,0,1,0-1,2020,A
2021-01-11,Elche CF,Getafe CF,1,3,1-3,2020,A
2021-01-11,SD Huesca,Real Betis,0,2,0-2,2020,A
2021-01-12,Granada CF,CA Osasuna,2,0,2-0,2020,H
2021-01-12,Atletico Madrid,Sevilla FC,2,0,2-0,2020,H
2021-01-19,Cadiz CF,Levante UD,2,2,2-2,2020,D
2021-01-19,Real Valladolid,Elche CF,2,2,2-2,2020,D
2021-01-19,CD Alaves,Sevilla FC,1,2,1-2,2020,A
2021-01-20,Getafe CF,SD Huesca,1,0,1-0,2020,H
2021-01-20,Real Betis,Celta Vigo,2,1,2-1,2020,H
2021-01-20,Villarreal CF,Granada CF,2,2,2-2,2020,D
2021-01-21,Valencia CF,CA Osasuna,1,1,1-1,2020,D
2021-01-21,SD Eibar,Atletico Madrid,1,2,1-2,2020,A
2021-01-22,Levante UD,Real Valladolid,2,2,2-2,2020,D
2021-01-23,SD Huesca,Villarreal CF,0,0,0-0,2020,D
2021-01-23,Sevilla FC,Cadiz CF,3,0,3-0,2020,H
2021-01-23,Real Sociedad,Real Betis,2,2,2-2,2020,D
2021-01-23,CD Alaves,Real Madrid,1,4,1-4,2020,A
2021-01-24,CA Osasuna,Granada CF,3,1,3-1,2020,H
2021-01-24,Elche CF,FC Barcelona,0,2,0-2,2020,A
2021-01-24,Celta Vigo,SD Eibar,1,1,1-1,2020,D
2021-01-24,Atletico Madrid,Valencia CF,3,1,3-1,2020,H
2021-01-25,Athletic Bilbao,Getafe CF,5,1,5-1,2020,H
2021-01-29,Real Valladolid,SD Huesca,1,3,1-3,2020,A
2021-01-30,SD Eibar,Sevilla FC,0,2,0-2,2020,A
2021-01-30,Real Madrid,Levante UD,1,2,1-2,2020,A
2021-01-30,Valencia CF,Elche CF,1,0,1-0,2020,H
2021-01-30,Villarreal CF,Real Sociedad,1,1,1-1,2020,D
2021-01-31,Getafe CF,CD Alaves,0,0,0-0,2020,D
2021-01-31,Cadiz CF,Atletico Madrid,2,4,2-4,2020,A
2021-01-31,Granada CF,Celta Vigo,0,0,0-0,2020,D
2021-01-31,FC Barcelona,Athletic Bilbao,2,1,2-1,2020,H
2021-02-01,Real Betis,CA Osasuna,1,0,1-0,2020,H
2021-02-05,CD Alaves,Real Valladolid,1,0,1-0,2020,H
2021-02-06,Levante UD,Granada CF,2,2,2-2,2020,D
2021-02-06,SD Huesca,Real Madrid,1,2,1-2,2020,A
2021-02-06,Elche CF,Villarreal CF,2,2,2-2,2020,D
2021-02-06,Sevilla FC,Getafe CF,3,0,3-0,2020,H
2021-02-07,Real Sociedad,Cadiz CF,4,1,4-1,2020,H
2021-02-07,Athletic Bilbao,Valencia CF,1,1,1-1,2020,D
2021-02-07,CA Osasuna,SD Eibar,2,1,2-1,2020,H
2021-02-07,Real Betis,FC Barcelona,2,3,2-3,2020,A
2021-02-08,Atletico Madrid,Celta Vigo,2,2,2-2,2020,D
2021-02-09,Real Madrid,Getafe CF,2,0,2-0,2020,H
2021-02-12,Celta Vigo,Elche CF,3,1,3-1,2020,H
2021-02-13,Granada CF,Atletico Madrid,1,2,1-2,2020,A
2021-02-13,Sevilla FC,SD Huesca,1,0,1-0,2020,H
2021-02-13,SD Eibar,Real Valladolid,1,1,1-1,2020,D
2021-02-13,FC Barcelona,CD Alaves,5,1,5-1,2020,H
2021-02-14,Getafe CF,Real Sociedad,0,1,0-1,2020,A
2021-02-14,Real Madrid,Valencia CF,2,0,2-0,2020,H
2021-02-14,Levante UD,CA Osasuna,0,1,0-1,2020,A
2021-02-14,Villarreal CF,Real Betis,1,2,1-2,2020,A
2021-02-15,Cadiz CF,Athletic Bilbao,0,4,0-4,2020,A
2021-02-17,Levante UD,Atletico Madrid,1,1,1-1,2020,D
2021-02-19,Real Betis,Getafe CF,1,0,1-0,2020,H
2021-02-20,Elche CF,SD Eibar,1,0,1-0,2020,H
2021-02-20,Atletico Madrid,Levante UD,0,2,0-2,2020,A
2021-02-20,Valencia CF,Celta Vigo,2,0,2-0,2020,H
2021-02-20,Real Valladolid,Real Madrid,0,1,0-1,2020,A
2021-02-21,FC Barcelona,Cadiz CF,1,1,1-1,2020,D
2021-02-21,Real Sociedad,CD Alaves,4,0,4-0,2020,H
2021-02-21,SD Huesca,Granada CF,3,2,3-2,2020,H
2021-02-21,Athletic Bilbao,Villarreal CF,1,1,1-1,2020,D
2021-02-22,CA Osasuna,Sevilla FC,0,2,0-2,2020,A
2021-02-24,FC Barcelona,Elche CF,3,0,3-0,2020,H
2021-02-26,Levante UD,Athletic Bilbao,1,1,1-1,2020,D
2021-02-27,SD Eibar,SD Huesca,1,1,1-1,2020,D
2021-02-27,Sevilla FC,FC Barcelona,0,2,0-2,2020,A
2021-02-27,CD Alaves,CA Osasuna,0,1,0-1,2020,A
2021-02-27,Getafe CF,Valencia CF,3,0,3-0,2020,H
2021-02-28,Celta Vigo,Real Valladolid,1,1,1-1,2020,D
2021-02-28,Cadiz CF,Real Betis,0,1,0-1,2020,A
2021-02-28,Granada CF,Elche CF,2,1,2-1,2020,H
2021-02-28,Villarreal CF,Atletico Madrid,0,2,0-2,2020,A
2021-03-01,Real Madrid,Real Sociedad,1,1,1-1,2020,D
2021-03-05,Valencia CF,Villarreal CF,2,1,2-1,2020,H
2021-03-06,Real Valladolid,Getafe CF,2,1,2-1,2020,H
2021-03-06,Elche CF,Sevilla FC,2,1,2-1,2020,H
2021-03-06,Cadiz CF,SD Eibar,1,0,1-0,2020,H
2021-03-06,CA Osasuna,FC Barcelona,0,2,0-2,2020,A
2021-03-07,SD Huesca,Celta Vigo,3,4,3-4,2020,A
2021-03-07,Atletico Madrid,Real Madrid,1,1,1-1,2020,D
2021-03-07,Real Sociedad,Levante UD,1,0,1-0,2020,H
2021-03-07,Athletic Bilbao,Granada CF,2,1,2-1,2020,H
2021-03-08,Real Betis,CD Alaves,3,2,3-2,2020,H
2021-03-10,Atletico Madrid,Athletic Bilbao,2,1,2-1,2020,H
2021-03-12,Levante UD,Valencia CF,1,0,1-0,2020,H
2021-03-13,CD Alaves,Cadiz CF,1,1,1-1,2020,D
2021-03-13,Real Madrid,Elche CF,2,1,2-1,2020,H
2021-03-13,CA Osasuna,Real Valladolid,0,0,0-0,2020,D
2021-03-13,Getafe CF,Atletico Madrid,0,0,0-0,2020,D
2021-03-14,Celta Vigo,Athletic Bilbao,0,0,0-0,2020,D
2021-03-14,Granada CF,Real Sociedad,1,0,1-0,2020,H
2021-03-14,SD Eibar,Villarreal CF,1,3,1-3,2020,A
2021-03-14,Sevilla FC,Real Betis,1,0,1-0,2020,H
2021-03-15,FC Barcelona,SD Huesca,4,1,4-1,2020,H
2021-03-17,Sevilla FC,Elche CF,2,0,2-0,2020,H
2021-03-19,Real Betis,Levante UD,2,0,2-0,2020,H
2021-03-20,Athletic Bilbao,SD Eibar,1,1,1-1,2020,D
2021-03-20,Celta Vigo,Real Madrid,1,3,1-3,2020,A
2021-03-20,SD Huesca,CA Osasuna,0,0,0-0,2020,D
2021-03-20,Real Valladolid,Sevilla FC,1,1,1-1,2020,D
2021-03-21,Getafe CF,Elche CF,1,1,1-1,2020,D
2021-03-21,Valencia CF,Granada CF,2,1,2-1,2020,H
2021-03-21,Villarreal CF,Cadiz CF,2,1,2-1,2020,H
2021-03-21,Atletico Madrid,CD Alaves,1,0,1-0,2020,H
2021-03-21,Real Sociedad,FC Barcelona,1,6,1-6,2020,A
2021-04-02,Levante UD,SD Huesca,0,2,0-2,2020,A
2021-04-03,Granada CF,Villarreal CF,0,3,0-3,2020,A
2021-04-03,Real Madrid,SD Eibar,2,0,2-0,2020,H
2021-04-03,CA Osasuna,Getafe CF,0,0,0-0,2020,D
2021-04-04,CD Alaves,Celta Vigo,1,3,1-3,2020,A
2021-04-04,Elche CF,Real Betis,1,1,1-1,2020,D
2021-04-04,Cadiz CF,Valencia CF,2,1,2-1,2020,H
2021-04-04,Sevilla FC,Atletico Madrid,1,0,1-0,2020,H
2021-04-05,FC Barcelona,Real Valladolid,1,0,1-0,2020,H
2021-04-07,Real Sociedad,Athletic Bilbao,1,1,1-1,2020,D
2021-04-09,SD Huesca,Elche CF,3,1,3-1,2020,H
2021-04-10,Getafe CF,Cadiz CF,0,1,0-1,2020,A
2021-04-10,Athletic Bilbao,CD Alaves,0,0,0-0,2020,D
2021-04-10,SD Eibar,Levante UD,0,1,0-1,2020,A
2021-04-10,Real Madrid,FC Barcelona,2,1,2-1,2020,H
2021-04-11,Villarreal CF,CA Osasuna,1,2,1-2,2020,A
2021-04-11,Valencia CF,Real Sociedad,2,2,2-2,2020,D
2021-04-11,Real Valladolid,Granada CF,1,2,1-2,2020,A
2021-04-11,Real Betis,Atletico Madrid,1,1,1-1,2020,D
2021-04-12,Celta Vigo,Sevilla FC,3,4,3-4,2020,A
2021-04-18,CA Osasuna,Elche CF,2,0,2-0,2020,H
2021-04-18,Real Sociedad,Sevilla FC,1,2,1-2,2020,A
2021-04-18,CD Alaves,SD Huesca,1,0,1-0,2020,H
2021-04-18,Atletico Madrid,SD Eibar,5,0,5-0,2020,H
2021-04-18,Real Betis,Valencia CF,2,2,2-2,2020,D
2021-04-18,Cadiz CF,Celta Vigo,0,0,0-0,2020,D
2021-04-18,Getafe CF,Real Madrid,0,0,0-0,2020,D
2021-04-18,Levante UD,Villarreal CF,1,5,1-5,2020,A
2021-04-21,Levante UD,Sevilla FC,0,1,0-1,2020,A
2021-04-21,CA Osasuna,Valencia CF,3,1,3-1,2020,H
2021-04-21,Real Betis,Athletic Bilbao,0,0,0-0,2020,D
2021-04-21,CD Alaves,Villarreal CF,2,1,2-1,2020,H
2021-04-21,Elche CF,Real Valladolid,1,1,1-1,2020,D
2021-04-21,Cadiz CF,Real Madrid,0,3,0-3,2020,A
2021-04-22,Atletico Madrid,SD Huesca,2,0,2-0,2020,H
2021-04-22,Granada CF,SD Eibar,4,1,4-1,2020,H
2021-04-22,Real Sociedad,Celta Vigo,2,1,2-1,2020,H
2021-04-22,FC Barcelona,Getafe CF,5,2,5-2,2020,H
2021-04-24,Elche CF,Levante UD,1,0,1-0,2020,H
2021-04-24,Real Valladolid,Cadiz CF,1,1,1-1,2020,D
